ntasks, speedup
1, 1.0472224403019654
2, 1.9587761390136427
3, 2.7735275140901887
4, 3.59651732574161
5, 4.150649201984017
6, 4.318856025664504
7, 4.883009773220798
8, 5.310083135909097
9, 5.563942465858986
10, 6.203786587407539
11, 5.915106720219445
12, 7.003521811813454
13, 5.823751859863528
14, 5.523851831486999
15, 5.917162816451321
16, 5.836925658034993
17, 5.885496870813356
18, 5.981398305797462
19, 6.201162885904588
20, 6.27487378280132
30, 6.496518393936534
40, 5.994030939687446
50, 6.47321959574257
60, 6.778036825094271
70, 6.80331695901188
80, 6.855862915867947
90, 6.7907323790741465
100, 6.992449985005176
150, 6.936627660944033
200, 6.751031990112886
250, 7.067022019566178
300, 6.9106509389038795
350, 6.9859171918449166
400, 6.965908225059083
450, 6.881800759436721
500, 7.024996566155298
