ntasks, speedup
1, 1.0121801947413729
2, 1.8973068910331707
3, 2.7232721851531423
4, 3.3454149757383704
5, 4.1252711949724254
6, 4.575979382772663
7, 4.936310039183178
8, 5.244317444001104
9, 5.293506018590435
10, 5.559514553791595
11, 6.253222175663972
12, 6.982909370108237
13, 5.810151359324638
14, 5.786180150961971
15, 5.420697854301299
16, 5.971985847796711
17, 5.819021926107209
18, 6.058773356454301
19, 6.165187912529541
20, 6.262711944195992
25, 6.160588767089263
30, 6.386841000099723
35, 5.577394958446456
40, 6.186089126569459
45, 6.73773755226854
50, 6.323052880948775
55, 6.777350095726607
60, 6.455502772850611
65, 6.661104474741307
70, 6.906861714764058
75, 6.632982813548375
80, 6.917748883206545
85, 6.6304968345008195
90, 6.89567754683823
95, 6.982846122396114
100, 6.86703659028884
