nthreads, ntasks, speedup
1, 1, 1.003078894397682
1, 2, 0.9240358028935631
1, 3, 1.008413530876353
1, 4, 1.0110018084496832
1, 5, 1.011941792106435
1, 6, 1.0003427764410335
1, 7, 0.9831283479669579
1, 8, 0.9995737604858851
1, 9, 0.9973151750098597
1, 10, 1.0032243782036774
1, 11, 1.00121019215641
1, 12, 0.9942955214630641
1, 13, 0.986996838524867
1, 14, 0.9861873947760295
1, 15, 1.017994098892252
1, 16, 1.0109864661087051
1, 17, 0.971645304351248
1, 18, 0.9870786516378414
1, 19, 1.0107256700753697
1, 20, 1.000189534795638
1, 30, 1.0057287445475718
1, 40, 0.9338872385490627
1, 50, 0.9765576023545588
1, 60, 1.0028463627459707
1, 70, 0.990421909591447
1, 80, 1.0023037513763113
1, 90, 1.0087460766394167
1, 100, 1.0104954650044373
1, 150, 0.9951281673106991
1, 200, 0.99002547130075
1, 250, 1.0255933092255938
1, 300, 1.0214883788205913
1, 350, 0.9856204323721836
1, 400, 1.0007138974139702
1, 450, 0.9963447978416259
1, 500, 1.0159803435502806
2, 1, 1.0018853360209614
2, 2, 1.9019720062670096
2, 3, 1.4858357587807973
2, 4, 1.9205976094984605
2, 5, 1.6361299743742295
2, 6, 1.9139086590607235
2, 7, 1.7350080226728322
2, 8, 1.9294071002602138
2, 9, 1.777057191195408
2, 10, 1.6904044722741094
2, 11, 1.7937595950897005
2, 12, 1.9589674561614403
2, 13, 1.7881180547615463
2, 14, 1.936434242566845
2, 15, 1.8589443586280505
2, 16, 1.9488957548071981
2, 17, 1.8268728401607819
2, 18, 1.9294011121334178
2, 19, 1.9018842461105
2, 20, 1.8742360276699837
2, 30, 1.5766391809178242
2, 40, 1.9198264976884596
2, 50, 1.8614793640302443
2, 60, 1.904389019286322
2, 70, 1.9355700361368753
2, 80, 1.9771030122993027
2, 90, 1.9429300575582742
2, 100, 1.928346742097554
2, 150, 1.9159703805734145
2, 200, 1.9370881474680395
2, 250, 1.850833076228647
2, 300, 1.571586584696466
2, 350, 1.9551599564533066
2, 400, 1.9300751086042383
2, 450, 1.9100511243068177
2, 500, 1.9141640601310757
3, 1, 1.023907184997489
3, 2, 1.9279208646693287
3, 3, 2.6422635346280052
3, 4, 1.9878560586317462
3, 5, 2.4150791411326646
3, 6, 2.691117255054407
3, 7, 2.1498045002069013
3, 8, 2.520494892437944
3, 9, 2.820147531898916
3, 10, 2.457595597463382
3, 11, 2.5740297013715217
3, 12, 2.849715621732566
3, 13, 2.564777042254645
3, 14, 2.6231700276372085
3, 15, 2.7016867079718976
3, 16, 2.5594674305111096
3, 17, 2.6326358295036987
3, 18, 2.728110006689784
3, 19, 2.9139076372974304
3, 20, 2.6116522278104655
3, 30, 2.662031362302215
3, 40, 2.750638580345328
3, 50, 2.763647501147791
3, 60, 2.7374392533826057
3, 70, 2.7616034569751786
3, 80, 2.8322474202273766
3, 90, 2.77902985709504
3, 100, 2.8018147204584323
3, 150, 2.6678470460466888
3, 200, 2.8059134304604796
3, 250, 2.35998136822041
3, 300, 2.7737963918838906
3, 350, 2.8047829526844805
3, 400, 2.7522646423303363
3, 450, 2.5568896358487927
3, 500, 2.759959767082555
4, 1, 1.0181859375890143
4, 2, 1.794635973842373
4, 3, 2.4178039885713547
4, 4, 3.430926463191577
4, 5, 2.462017897989889
4, 6, 2.776305062123652
4, 7, 3.1160568368387174
4, 8, 3.2863277343880424
4, 9, 2.959377193711037
4, 10, 3.1845125938148047
4, 11, 3.0476669118036694
4, 12, 3.039934221409179
4, 13, 3.283254129609699
4, 14, 3.3791714557227737
4, 15, 2.9935557897455833
4, 16, 3.0031542488526024
4, 17, 3.249662449043999
4, 18, 3.434679620238605
4, 19, 3.0774646414258235
4, 20, 3.384059212707448
4, 30, 3.5334543961892044
4, 40, 3.64905999573181
4, 50, 3.4655597607129778
4, 60, 3.821164357493696
4, 70, 3.6238017086699483
4, 80, 3.402366419776355
4, 90, 3.5294607865325713
4, 100, 3.5526669539495264
4, 150, 3.5998433627141115
4, 200, 3.782065769392345
4, 250, 3.8480036875969468
4, 300, 3.6119216254024784
4, 350, 3.562817975067054
4, 400, 3.546853506280052
4, 450, 3.4117679087311226
4, 500, 3.4152674394546882
5, 1, 1.0050507985156354
5, 2, 1.9098343943446343
5, 3, 2.747585263572213
5, 4, 3.4720299215334527
5, 5, 4.02325583882721
5, 6, 3.0136659793846903
5, 7, 3.6201077114380222
5, 8, 3.8272272633734863
5, 9, 3.937539007988348
5, 10, 4.1179116247133924
5, 11, 3.571801604445067
5, 12, 3.5557391178978968
5, 13, 3.971001113047712
5, 14, 4.160009478638297
5, 15, 4.006337691087515
5, 16, 3.831252342828582
5, 17, 3.837334641799016
5, 18, 3.965190130650766
5, 19, 4.101231427487541
5, 20, 4.651842605320046
5, 30, 4.008470644223159
5, 40, 4.153860945355748
5, 50, 4.025120502392178
5, 60, 4.3658374289507815
5, 70, 4.073203010422013
5, 80, 4.384625213356965
5, 90, 4.35215810259906
5, 100, 4.154893865294869
5, 150, 4.329789447844439
5, 200, 4.200868338355994
5, 250, 4.315742558683962
5, 300, 4.485228210365154
5, 350, 4.897133671335025
