nthreads, ntasks, speedup
1, 1, 0.9520731857067961
1, 2, 0.9871723371360632
1, 3, 1.026491764287885
1, 4, 1.0783928512459455
1, 5, 1.0187520326294368
1, 6, 1.0015246904341142
1, 7, 0.9881081438565048
1, 8, 1.1210890505159488
1, 9, 1.0155472504729386
1, 10, 1.0117513329344205
1, 11, 0.9272503549501218
1, 12, 1.0179610434495618
1, 13, 0.9966719733804796
1, 14, 0.9365026281044798
1, 15, 1.034026264612029
1, 16, 1.1258753148346452
1, 17, 0.9221438382655476
1, 18, 0.8732308363749326
1, 19, 0.9276040705448313
1, 20, 1.0155669185849678
1, 30, 0.956966430529141
1, 40, 1.0603960791144436
1, 50, 0.9998533729563523
1, 60, 0.9738987230440257
1, 70, 0.9518641311664048
1, 80, 0.8854098023328453
1, 90, 0.9972115351539433
1, 100, 0.9883603089952883
1, 150, 0.9489315704735355
1, 200, 1.0033901427946126
1, 250, 0.9342923273500805
1, 300, 0.9347454124191793
1, 350, 1.071637064793856
1, 400, 0.9360576204345065
1, 450, 1.0390472868904839
1, 500, 0.9452522273314696
2, 1, 0.9397109254160609
2, 2, 1.3614769233919246
2, 3, 1.6695538778041084
2, 4, 1.5229521281432894
2, 5, 1.6220718014686377
2, 6, 2.089342494665707
2, 7, 2.3662491020058805
2, 8, 2.1600940110850457
2, 9, 1.696111294381768
2, 10, 2.1720443503071096
2, 11, 1.561193455640133
2, 12, 2.4488172544500597
2, 13, 1.6153497148693436
2, 14, 2.369317975543363
2, 15, 1.617860014967695
2, 16, 2.161143294112874
2, 17, 1.4440757543887923
2, 18, 2.3910450458628936
2, 19, 1.7400185435406408
2, 20, 2.38127341243745
2, 30, 1.6248737360855154
2, 40, 1.7409254905290226
2, 50, 1.7819476594204688
2, 60, 2.427784552811771
2, 70, 2.2999738377796497
2, 80, 2.546486395345784
2, 90, 2.309368542270891
2, 100, 1.8445073474544649
2, 150, 2.2236685702560557
2, 200, 2.3533862593907737
2, 250, 2.443396401347272
2, 300, 1.577807958726102
2, 350, 2.2743385323819263
2, 400, 2.329160136683087
2, 450, 1.7589647224670641
2, 500, 2.501087200376276
3, 1, 1.017687627497673
3, 2, 1.4043134083333881
3, 3, 1.8721937246801894
